"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"East Asia & Pacific (excluding high income)","EAP","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","765612932.642823","865572650.62572","1140348079.17565","1941361274.02307","1885227736.21529","2372717023.94599","2675973482.09282","2643902334.43465","1253074142.94629","1676830801.48207","",
"Egypt, Arab Rep.","EGY","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","83000000","100000000","169000000","296000000","462000000","","466000000","516000000","899000000","1128000000","1272000000","1567000000","1886000000","2428000000","3089000000","3760000000","5880000000","8788000000","13433000000","16651000000","14930000000","16032000000","15455000000","","","","","20303000000","23727000000","27517000000","29806000000","34811700000","38367300000","40956600000","43755100000","62199000000","76361800000","93401000000","135331000000","159330000000","179035000000","","","","","","","","",
"Euro area","EMU","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","98565985.1189403","135227723.486351","130419626.651281","140035820.321421","152056062.409097","221773466.517616","307117185.340113","397269000.99768","223576502.830767","250021035.423653","497638022.429772","1593884100.82579","2752635438.07772","5083961390.98241","6489127691.0317","6477708461.04841","7144831896.9144","7780101691.24806","9001358287.35591","11064632841.7054","12606829901.5542","15955669347.1807","17970862933.1795","","","","","","","","","","","","","","","","","","24378000000","30441000000","30812000000","28074000000","26611000000","25713000000","26005000000","24965000000","22318000000","23344000000","28575000000","",
